StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q4,Q5,Q12,Q14,Q16,Q25,mTurkCode,FL_2_DO
2018-07-23 20:32:44,2018-07-23 20:33:01,IP Address,134.134.139.74,100,16,True,2018-07-23 20:33:01,R_1eqjBcTjE2IgsZy,,,,,38.672897338867,-121.14880371094,anonymous,EN,0,0,3.888,0,-99,-99,-99,-99,-99,-99,3321442,Introduction:1Star
2018-07-23 20:34:18,2018-07-23 20:35:24,IP Address,134.134.139.74,100,65,True,2018-07-23 20:35:25,R_1hXMwpSMRCr6wWX,,,,,38.672897338867,-121.14880371094,anonymous,EN,0,0,9.141,0,-99,-99,-99,-99,-99,-99,9788082,Introduction:4.5Stars
2018-07-23 20:44:43,2018-07-23 20:48:45,IP Address,117.221.141.1,100,242,True,2018-07-23 20:48:45,R_3hatlH9Uw9QnAPP,,,,,11.350006103516,77.733306884766,anonymous,EN,0,0,26.884,0,4,More realistic story,Beautiful,Rome,Gaius won the battle,No,2518732,Introduction:4.5Stars
2018-07-23 20:44:39,2018-07-23 20:49:04,IP Address,24.91.185.182,100,265,True,2018-07-23 20:49:05,R_3GlXjdFFQ7OmVB7,,,,,42.242904663086,-71.009803771973,anonymous,EN,12.326,115.15,146.806,5,4,Cool twist on the origin of the Pyrrhic victory.,Menacing,Rome,Gaius won the battle,No,7720011,Introduction:1Star
2018-07-23 20:48:55,2018-07-23 20:53:38,IP Address,174.215.9.168,100,282,True,2018-07-23 20:53:38,R_A1f2DaYpLYtPfpv,,,,,37.773498535156,-122.27880096436,anonymous,EN,2.968,196.506,207.812,79,4,Interesting enough. I will have to Google to see if it is true though :),Beautiful,Rome,Gaius was killed,No,6986846,Introduction:1Star
2018-07-23 20:49:00,2018-07-23 20:55:16,IP Address,73.66.99.171,100,375,True,2018-07-23 20:55:16,R_3pupFT1xv5okhaA,,,,,38.73649597168,-120.80429840088,anonymous,EN,0,0,269.304,0,5,Interesting but at times it lacked.,Beautiful,Rome,Gaius won the battle,No,3525256,Introduction:1Star
2018-07-23 20:51:09,2018-07-23 21:00:58,IP Address,103.77.3.47,100,588,True,2018-07-23 21:00:58,R_26fMD0ybf25p5ZQ,,,,,28.570007324219,77.320007324219,anonymous,EN,13.469,32.892,115.634,3,4,"I feel like a mortal person was provided some information, probably by a time traveling historian which made that person, Gaius butcher war animals and ensure victory for his country. But his king was not happy about the same. I think this story is trying to convey a message, that victories can be won, but at what cost? Is the victory worth the cost?",Beautiful,Rome,Gaius was killed,No,6105966,Introduction:Control
2018-07-23 21:04:39,2018-07-23 21:08:53,IP Address,174.238.23.11,100,254,True,2018-07-23 21:08:54,R_2trpzV85P1YQrUw,,,,,33.386093139648,-111.84690093994,anonymous,EN,2.585,235.997,237.718,28,3,-99,Menacing,Rome,Gaius was killed,No,211199,Introduction:4.5Stars
2018-07-23 20:47:38,2018-07-23 21:09:51,IP Address,106.210.244.211,100,1332,True,2018-07-23 21:09:51,R_blz3gjOWApEjRQJ,,,,,18.533294677734,73.86669921875,anonymous,EN,42.435,769.693,816.846,36,5,I think the story is describing an era of ancient roman greek history. It could be related to war time stories fought between two empires.,Petrifying,Rome,Gaius was killed,No,7604166,Introduction:Control
2018-07-23 21:07:59,2018-07-23 21:14:25,IP Address,70.190.229.86,100,385,True,2018-07-23 21:14:25,R_pN4uaJbTo5XvgmR,,,,,33.507598876953,-112.05829620361,anonymous,EN,3.065,263.887,274.628,43,4,"Beautiful imagery and emotion of a common Roman army ",Menacing,Alexandria,Gaius was killed,No,1038885,Introduction:4.5Stars
2018-07-23 21:17:09,2018-07-23 21:23:50,IP Address,24.90.220.202,100,400,True,2018-07-23 21:23:51,R_2rjBJER5kMJkInf,,,,,40.740005493164,-73.936096191406,anonymous,EN,17.637,245.26,259.735,17,3,"It’s pretty silly. ",Beautiful,Rome,Gaius was killed,No,9122933,Introduction:1Star
2018-07-23 21:21:32,2018-07-23 21:31:12,IP Address,67.83.194.202,100,580,True,2018-07-23 21:31:13,R_2dgYL1K9fbA1Fkq,,,,,40.60090637207,-73.939697265625,anonymous,EN,2.983,440.801,442.78,32,6,"Unusual, mesmerizing ",Beautiful,Rome,Gaius was killed,No,6239440,Introduction:Control
2018-07-23 21:31:32,2018-07-23 21:33:57,IP Address,72.93.223.69,100,145,True,2018-07-23 21:33:58,R_tRRqOYA52ong9lT,,,,,42.353897094727,-71.717300415039,anonymous,EN,1.993,102.784,110.523,24,4,It was neat,Menacing,Rome,Gaius was killed,No,9878878,Introduction:Control
2018-07-23 21:06:36,2018-07-23 21:34:21,IP Address,12.227.99.143,100,1665,True,2018-07-23 21:34:22,R_oZcdiEvYEO7hUfT,,,,,38.556793212891,-121.49629974365,anonymous,EN,861.975,1138.284,1316.233,2,6,"History cannot capture every detail/perspective that occurred in the moment. ",Beautiful,Rome,Gaius was killed,No,8354981,Introduction:Control
2018-07-23 21:33:29,2018-07-23 21:35:41,IP Address,98.13.247.97,100,131,True,2018-07-23 21:35:41,R_3QXi9TXyhln62RP,,,,,40.766204833984,-73.986198425293,anonymous,EN,0,0,88.739,0,4,Weird but kept my attention. Seems like a nerd wrote it and it's fanfiction.,Beautiful,Rome,Gaius won the battle,No,1201446,Introduction:Control
2018-07-23 21:41:01,2018-07-23 21:46:58,IP Address,75.87.134.120,100,356,True,2018-07-23 21:46:58,R_1obajvUacGo5J4J,,,,,38.9248046875,-94.637901306152,anonymous,EN,3.396,267.903,270.686,47,6,Good and motivating.,Beautiful,Rome,Gaius was killed,No,5378279,Introduction:4.5Stars
2018-07-23 21:55:58,2018-07-23 22:01:43,IP Address,98.155.86.120,100,345,True,2018-07-23 22:01:43,R_2EiqnZkYtKCrppA,,,,,20.69889831543,-156.44299316406,anonymous,EN,0.338,280.284,283.427,207,4,Well written,Beautiful,Rome,Gaius was killed,No,7966727,Introduction:1Star
2018-07-23 22:02:33,2018-07-23 22:10:05,IP Address,172.58.21.112,100,451,True,2018-07-23 22:10:05,R_wT2zhUzMVGcvKRb,,,,,33.921600341797,-118.24530029297,anonymous,EN,13.03,351.849,353.557,90,4,Strange,Beautiful,Rome,Gaius was killed,No,3993200,Introduction:4.5Stars
2018-07-23 21:08:21,2018-07-23 22:13:01,IP Address,24.56.30.18,100,3879,True,2018-07-23 22:13:01,R_2zf4aoLYgstLTfv,,,,,33.465194702148,-112.04969787598,anonymous,EN,2.02,391.318,392.364,25,5,"It was good. Witty. Surprises. ",Menacing,Babylon,Gaius won the battle,No,7935271,Introduction:4.5Stars
2018-07-23 22:32:10,2018-07-23 22:36:25,IP Address,24.2.46.202,100,254,True,2018-07-23 22:36:25,R_3Kwuy1lRSFm88kO,,,,,38.344497680664,-121.42929840088,anonymous,EN,24.144,192.24,193.048,42,4,"It was very descriptive, painting a picture in the mind of the reader",Beautiful,Rome,Gaius was killed,No,1491088,Introduction:4.5Stars
2018-07-23 22:34:14,2018-07-23 22:40:38,IP Address,176.37.17.194,100,384,True,2018-07-23 22:40:39,R_2qq5qUnhLObO6Tc,,,,,50.433303833008,30.516693115234,anonymous,EN,1.342,308.755,310.206,39,3,-99,Beautiful,Rome,Gaius was killed,No,4530363,Introduction:4.5Stars
2018-07-23 22:36:04,2018-07-23 22:42:13,IP Address,134.134.139.83,100,368,True,2018-07-23 22:42:13,R_Qd26HooBzveR9Qd,,,,,45.553405761719,-122.8191986084,anonymous,EN,0,0,276.896,0,5,"A fun story of Pyrrhic victories. ",Beautiful,Rome,Gaius was killed,No,3698421,Introduction:1Star
2018-07-23 22:43:44,2018-07-23 22:44:18,IP Address,157.51.252.243,100,34,True,2018-07-23 22:44:19,R_3oRrRporHXEMghu,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,4.865,0,5,IT IS VERY USEFUL,Petrifying,Alexandria,Gaius was killed,Yes,7409637,Introduction:Control
2018-07-23 22:47:39,2018-07-23 22:57:30,IP Address,5.31.233.88,100,590,True,2018-07-23 22:57:30,R_3HwdLaGOXOHFwmR,,,,,25.258193969727,55.304702758789,anonymous,EN,7.366,426.559,428.262,41,3,Did not get it,Beautiful,Rome,Gaius was killed,No,7180935,Introduction:1Star
2018-07-23 23:36:40,2018-07-23 23:44:34,IP Address,59.93.8.178,100,473,True,2018-07-23 23:44:35,R_XjrGMDWZouUioKJ,,,,,11.649993896484,78.166687011719,anonymous,EN,0,0,38.686,0,4,Nice,Epic,Rome,Gaius won the battle,Yes,5451819,Introduction:4.5Stars
2018-07-23 23:45:22,2018-07-23 23:49:47,IP Address,90.44.189.9,100,264,True,2018-07-23 23:49:47,R_3svMZLzk9cJrnTU,,,,,48.86279296875,2.3291931152344,anonymous,EN,11.018,168.006,169.919,21,4,"Pleasant, mildly entertaining",Beautiful,Rome,Gaius was killed,No,8558618,Introduction:1Star
2018-07-23 23:46:29,2018-07-23 23:53:46,IP Address,98.212.80.5,100,437,True,2018-07-23 23:53:47,R_2772dSRgeAXDI2Q,,,,,41.383193969727,-89.146102905273,anonymous,EN,6.275,18.56,316.784,3,5,It was very unusual and thought-provoking.,Beautiful,Rome,Gaius was killed,No,7927267,Introduction:4.5Stars
2018-07-24 00:55:22,2018-07-24 01:03:09,IP Address,137.97.96.21,100,467,True,2018-07-24 01:03:09,R_29mI08p3hsypYr0,,,,,9.9833068847656,76.283294677734,anonymous,EN,0,0,271.788,0,6,"A story narrated from an unusual perspective. The narrative is crisp and the implied valor of the protagonist is inspiring. One of the better stories that I have read! ",Beautiful,Rome,Gaius was killed,No,3414130,Introduction:4.5Stars
2018-07-24 01:11:57,2018-07-24 01:50:57,IP Address,173.209.212.151,100,2339,True,2018-07-24 01:50:57,R_ALs2IcrtmSBW4r7,,,,,37.751007080078,-97.821998596191,anonymous,EN,7.316,304.638,312.932,54,4,Jumped to the ending of the story too quickly,Beautiful,Rome,Gaius was killed,No,5575815,Introduction:1Star
2018-07-24 01:51:00,2018-07-24 01:57:04,IP Address,167.99.173.41,100,363,True,2018-07-24 01:57:04,R_2ZNTiAupkewfMbl,,,,,37.35009765625,-121.98539733887,anonymous,EN,8.683,22.507,23.2,9,5,The story is very much different and new. I like the concept of the story and it is very much unique. I loved to read the entire story from beginning to the end.,Petrifying,Rome,Gaius traveled in time,No,9265781,Introduction:4.5Stars
2018-07-24 02:23:50,2018-07-24 02:31:03,IP Address,72.133.44.95,100,433,True,2018-07-24 02:31:04,R_3R9iHU2xYU1TpnP,,,,,44.505401611328,-87.966598510742,anonymous,EN,303.263,312.384,315.006,4,4,"It was a little hard to get into at first, but it ended up being rather clever and humorous.",Beautiful,Rome,Gaius traveled in time,No,6653633,Introduction:1Star
2018-07-24 02:56:01,2018-07-24 03:02:46,IP Address,122.62.18.119,100,404,True,2018-07-24 03:02:47,R_27WsIoQpdXIygaA,,,,,-36.856506347656,174.84820556641,anonymous,EN,5.074,276.466,277.783,36,4,A good story,Beautiful,Rome,Gaius was killed,No,69452,Introduction:1Star
2018-07-24 05:27:44,2018-07-24 05:32:19,IP Address,122.178.55.157,100,275,True,2018-07-24 05:32:20,R_AiLaIU5tD7NFjsB,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,38.09,0,4,none,Beautiful,Rome,Gaius killed the historian,No,8504614,Introduction:Control
2018-07-24 06:05:03,2018-07-24 06:10:04,IP Address,73.212.166.154,100,301,True,2018-07-24 06:10:04,R_2ve3bZMOpBdw4Ij,,,,,38.935394287109,-77.028396606445,anonymous,EN,3.715,225.557,230.964,33,4,"Clever, silly",Epic,Rome,Gaius was killed,No,2719929,Introduction:1Star
2018-07-24 06:07:57,2018-07-24 06:13:06,IP Address,71.71.90.54,100,309,True,2018-07-24 06:13:07,R_2VO2gpupHbVDaZS,,,,,36.124206542969,-80.635101318359,anonymous,EN,124.7,247.833,251.42,2,4,pretty good,Beautiful,Rome,Gaius was killed,No,2333847,Introduction:1Star
2018-07-24 06:43:46,2018-07-24 06:46:45,IP Address,73.243.4.169,100,178,True,2018-07-24 06:46:45,R_1JQSRib9KBUSIy6,,,,,38.876495361328,-104.82879638672,anonymous,EN,0,0,133.613,0,2,confusing,Petrifying,Rome,Gaius was killed,No,2883566,Introduction:Control
2018-07-24 07:06:06,2018-07-24 07:13:21,IP Address,173.90.75.108,100,435,True,2018-07-24 07:13:22,R_3kyKPjNfSYGlcO3,,,,,40.899597167969,-81.439598083496,anonymous,EN,289.9,290.19,293.353,2,3,"There were a few details that brought this story above two stars, but it's still not a particularly good story. It's purpose is rather lost on me, and the anachronisms were especially jarring. ",Beautiful,Alexandria,Gaius won the battle,No,8805503,Introduction:1Star
2018-07-24 07:19:39,2018-07-24 07:23:20,IP Address,24.167.170.251,100,221,True,2018-07-24 07:23:20,R_3HnQ9mVj08muZis,,,,,36.007400512695,-79.873199462891,anonymous,EN,0,0,174.204,0,4,it was interesting,Beautiful,Rome,Gaius was killed,No,7588106,Introduction:Control
2018-07-24 07:34:10,2018-07-24 07:39:56,IP Address,68.103.173.253,100,346,True,2018-07-24 07:39:56,R_2aFbXfxFSsBVyIA,,,,,37.802001953125,-99.998199462891,anonymous,EN,200.159,200.159,201.752,1,5,"Since I love history, and time travel, this held my interest. I especially like how logical it would be for a historian to go back and witness the very battle that ended up coining the term ""Pyrrhic"" victory- e.g. a victory that happens while losing so many troops.",Beautiful,Rome,Gaius was killed,No,5091604,Introduction:Control
2018-07-24 07:40:48,2018-07-24 07:46:21,IP Address,142.154.219.138,100,332,True,2018-07-24 07:46:21,R_3mgHAoumlk0uEH6,,,,,40.731704711914,-73.988502502441,anonymous,EN,1.466,254.229,256.09,44,3,Too descriptive of surroundings.,Beautiful,Rome,Gaius was killed,No,8915310,Introduction:1Star
2018-07-24 07:47:23,2018-07-24 07:54:27,IP Address,122.178.149.195,100,424,True,2018-07-24 07:54:28,R_2XmJaNHBoT2O4Ih,,,,,10.992492675781,76.961395263672,anonymous,EN,1.897,131.436,133.508,79,4,"Overall its interesting but some part of the story is confusing and I have to read it again. ",Beautiful,Rome,Gaius was killed,No,9227973,Introduction:Control
2018-07-24 08:10:00,2018-07-24 08:11:22,IP Address,122.174.71.225,100,81,True,2018-07-24 08:11:22,R_1Ckf4MWLL2Qt1QS,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,3.77,0,5,Very nice story.,Beautiful,Babylon,Gaius was killed,Yes,277202,Introduction:Control
2018-07-24 09:17:58,2018-07-24 09:23:34,IP Address,208.54.39.161,100,335,True,2018-07-24 09:23:34,R_1HdHJLC0gyAVU22,,,,,34.078994750977,-117.84939575195,anonymous,EN,0,0,212.555,0,4,"I thought it was a weird story, with weird characters.  It is well told, but can be a bit difficult to follow for some.  It is told in narrative form which makes it more compelling to read.",Menacing,Rome,Gaius was killed,No,5757377,Introduction:4.5Stars
2018-07-24 09:27:58,2018-07-24 09:33:04,IP Address,99.194.178.73,100,305,True,2018-07-24 09:33:05,R_2bUjyo3wSS20vDH,,,,,30.638793945312,-87.737800598145,anonymous,EN,4.5,11.769,175.733,2,4,"I thought it was interesting. I thought the historian was funny. I almost wish something would have changed, instead of Gaius dying. ",Beautiful,Rome,Gaius was killed,No,811484,Introduction:Control
2018-07-24 10:02:18,2018-07-24 10:11:01,IP Address,24.56.36.156,100,523,True,2018-07-24 10:11:02,R_3NWC0T2yplxq10S,,,,,33.462707519531,-111.98560333252,anonymous,EN,0,0,254.898,0,3,Interesting,Beautiful,Rome,Gaius was killed,No,9560145,Introduction:4.5Stars
2018-07-24 10:12:05,2018-07-24 10:12:35,IP Address,24.56.36.156,100,29,True,2018-07-24 10:12:35,R_1GQtlcpgzMt6Yln,,,,,33.462707519531,-111.98560333252,anonymous,EN,0,0,3.382,0,-99,-99,-99,-99,-99,-99,6024940,Introduction:1Star
2018-07-24 10:24:38,2018-07-24 10:25:04,IP Address,171.61.237.74,100,26,True,2018-07-24 10:25:05,R_3GkTFzulOEVR57p,,,,,9.9833068847656,76.283294677734,anonymous,EN,0,0,3.47,0,4,-99,Beautiful,Babylon,Gaius was killed,Yes,1201103,Introduction:4.5Stars
2018-07-24 11:06:41,2018-07-24 11:10:31,IP Address,137.52.20.242,100,229,True,2018-07-24 11:10:31,R_3JfkoIZi5jOfkZ0,,,,,26.069793701172,-80.222297668457,anonymous,EN,0,0,161.943,0,1,"I thought that it was boring. I think that it could've been better but the descriptions seemed to go on forever before the battle. Bored me to sleep.  ",Beautiful,Rome,Gaius was killed,No,5254693,Introduction:1Star
2018-07-24 11:15:38,2018-07-24 11:21:32,IP Address,73.71.191.36,100,353,True,2018-07-24 11:21:32,R_W1mQaXFFecPUU6t,,,,,37.230392456055,-121.95050048828,anonymous,EN,9.026,178.338,193.586,51,4,Interesting and creative,Beautiful,Alexandria,Gaius was killed,No,2492727,Introduction:1Star
2018-07-24 11:10:34,2018-07-24 11:23:15,IP Address,122.164.110.91,100,760,True,2018-07-24 11:23:15,R_3QRY4xPJPcRKpb0,,,,,10.804992675781,78.685607910156,anonymous,EN,0,0,220.145,0,5,They telling this story with nice imagination. They try to bring the story as realistic to our eyes.,Beautiful,Rome,Gaius won the battle,No,1830670,Introduction:Control
2018-07-24 11:33:26,2018-07-24 11:49:47,IP Address,171.61.225.167,100,980,True,2018-07-24 11:49:47,R_1H7zBqhPrcVrOBu,,,,,13.083297729492,80.283294677734,anonymous,EN,12.93,613.175,626.269,42,4,"""It is strange and surprising.""
""It's fun, definitely entertainment.""",Beautiful,Rome,Gaius won the battle,No,425049,Introduction:4.5Stars
2018-07-24 11:56:08,2018-07-24 12:06:57,IP Address,70.118.246.32,100,649,True,2018-07-24 12:06:58,R_1mwt2jK7W9wIyBA,,,,,39.033706665039,-94.541000366211,anonymous,EN,0,0,586.58,0,5,It was imaginative and interesting.,Beautiful,Rome,Gaius was killed,No,9087104,Introduction:Control
2018-07-24 12:11:36,2018-07-24 12:19:28,IP Address,31.10.160.90,100,471,True,2018-07-24 12:19:28,R_3IZh27rgVAPMd5v,,,,,46.202194213867,6.1457061767578,anonymous,EN,174.951,216.651,218.061,2,3,"The plot was fine, and the sci-fi twist was interesting. Nevertheless, the story could be better if the writing was a bit less less convoluted. ",Beautiful,Rome,Gaius was killed,No,353839,Introduction:1Star
2018-07-24 12:14:45,2018-07-24 12:19:47,IP Address,99.231.97.121,100,301,True,2018-07-24 12:19:47,R_3dXQWrzCtQUxPJM,,,,,43.872100830078,-78.927299499512,anonymous,EN,1.581,210.018,225.48,4,5,I thought it was creative and interesting. I haven't read a story like it before.,Beautiful,Rome,Gaius was killed,No,7883660,Introduction:4.5Stars
2018-07-24 12:45:13,2018-07-24 12:58:19,IP Address,61.2.79.253,100,785,True,2018-07-24 12:58:19,R_2CJKwlLfQcfg1q7,,,,,9.9333038330078,78.11669921875,anonymous,EN,7.724,526.618,553.354,3,4,It is interesting because of the prophetic little man who claims to be a historian and know the outcome of the war.,Beautiful,Rome,Gaius was killed,No,8442537,Introduction:4.5Stars
2018-07-24 13:10:54,2018-07-24 13:17:52,IP Address,74.132.32.27,100,417,True,2018-07-24 13:17:52,R_z0gFAfwlzlOnaSt,,,,,38.238998413086,-85.717399597168,anonymous,EN,5.783,330.45,331.294,24,4,"Interesting, simplistic, amateur ",Menacing,Rome,Gaius was killed,No,6531612,Introduction:1Star
2018-07-24 13:52:46,2018-07-24 13:56:35,IP Address,75.87.100.146,100,228,True,2018-07-24 13:56:35,R_3gam5XpbjqVf19n,,,,,27.676406860352,-97.493698120117,anonymous,EN,1.444,191.208,192.712,48,5,It was a cool concept,Beautiful,Rome,Gaius was killed,No,1470536,Introduction:4.5Stars
2018-07-24 14:01:17,2018-07-24 14:11:21,IP Address,149.62.205.64,100,603,True,2018-07-24 14:11:21,R_3Eg22LF9dt0koIe,,,,,42.683303833008,23.316696166992,anonymous,EN,21.335,450.539,452.068,32,4,-99,Beautiful,Rome,Gaius was killed,No,637815,Introduction:Control
2018-07-24 14:35:43,2018-07-24 14:42:28,IP Address,68.3.133.51,100,405,True,2018-07-24 14:42:29,R_2B9SHNBm1qoTcwE,,,,,33.435699462891,-111.91709899902,anonymous,EN,17.174,158.574,162.969,2,3,"it was not written very well. The concept is a nice thought but was not executed very well. ",Beautiful,Rome,Gaius won the battle,No,6515338,Introduction:4.5Stars
2018-07-24 14:50:35,2018-07-24 14:56:52,IP Address,174.225.12.68,100,376,True,2018-07-24 14:56:52,R_1IMdZFaqiHcXK8n,,,,,40.846099853516,-74.591400146484,anonymous,EN,2.666,263.42,280.037,40,4,Interesting but incomplete in a way.,Beautiful,Rome,Gaius was killed,No,1275015,Introduction:Control
2018-07-24 16:08:14,2018-07-24 16:13:21,IP Address,24.56.36.156,100,307,True,2018-07-24 16:13:21,R_11XhqaRlMFFcjNu,,,,,33.462707519531,-111.98560333252,anonymous,EN,0,0,200.648,0,3,"Strange, but good",Beautiful,Rome,Gaius was killed,No,805270,Introduction:4.5Stars
2018-07-24 17:53:04,2018-07-24 17:58:46,IP Address,137.52.20.243,100,342,True,2018-07-24 17:58:47,R_12rO89NZNrUZanK,,,,,26.069793701172,-80.222297668457,anonymous,EN,0,0,294.689,0,3,"Im not into period pieces like that so to me it was alright. If it was something more modern setting it would have been better. ",Beautiful,Rome,Gaius was killed,No,4434598,Introduction:1Star
2018-07-24 19:39:21,2018-07-24 19:51:09,IP Address,47.18.171.126,100,707,True,2018-07-24 19:51:09,R_27PEruhMq4P6YWd,,,,,40.644897460938,-73.958297729492,anonymous,EN,3.87,378.714,379.716,87,6,The story is great,Beautiful,Rome,Gaius was killed,No,4461987,Introduction:Control
2018-07-24 19:55:07,2018-07-24 20:05:13,IP Address,24.187.169.144,100,605,True,2018-07-24 20:05:13,R_5gS3misGis56jAZ,,,,,41.057205200195,-73.778701782227,anonymous,EN,1.781,382.406,383.248,76,4,Great imagination,Beautiful,Rome,Gaius was killed,No,6567972,Introduction:Control
2018-07-24 20:43:23,2018-07-24 20:48:32,IP Address,173.219.178.250,100,308,True,2018-07-24 20:48:33,R_2q9RdeVtJTdE1rk,,,,,35.235305786133,-111.72100067139,anonymous,EN,11.894,214.921,215.752,20,4,"Captivating, entertaining",Beautiful,Rome,Gaius was killed,No,9087811,Introduction:Control
2018-07-24 20:20:48,2018-07-24 21:12:55,IP Address,172.58.233.254,100,3127,True,2018-07-24 21:12:56,R_2YAqtt8eXpUJB13,,,,,40.764404296875,-74.187896728516,anonymous,EN,3.927,1250.234,1251.134,71,4,It was witty! Cool mix of scifi and history.,Petrifying,Rome,Gaius was killed,No,7822200,Introduction:4.5Stars
2018-07-24 23:25:31,2018-07-24 23:33:04,IP Address,85.255.235.96,100,453,True,2018-07-24 23:33:05,R_2bUDLvtvVmwNVg7,,,,,51.533294677734,-0.10000610351562,anonymous,EN,2.977,376.686,377.543,49,4,-99,Beautiful,Rome,Gaius was killed,No,3266408,Introduction:1Star
2018-07-24 11:04:22,2018-07-25 00:27:41,IP Address,46.118.128.1,100,48198,True,2018-07-25 00:27:41,R_1gknORsxN6xdWn0,,,,,50.449996948242,30.523300170898,anonymous,EN,1723.833,1938.69,2050.262,7,6,Interesting,Menacing,Rome,Gaius was killed,No,2509579,Introduction:4.5Stars
